input,institution,country,alpha2,settlement,locality,lat,lon,wd_label,wd_url
"Institute of Chemistry, Environment Protection and Biotechnology, Jan Dlugosz University, al. Armii Krajowej 13/15, 42-200 Czestochowa, Poland",Jan Dlugosz University,Poland,PL,Czestochowa,Częstochowa,50.79646,19.12409,Jan Długosz University,http://www.wikidata.org/entity/Q6148831
"The Institute of Bioengineering (IBI), School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL)",Ecole Polytechnique Fédérale de Lausanne (EPFL),,,Lausanne,Lausanne,46.516,6.63282,École polytechnique fédérale de Lausanne,http://www.wikidata.org/entity/Q262760
"Centre for Infection, Immunity and Disease Mechanisms, Brunel University, London, United Kingdom",Brunel University,United Kingdom,GB,Guang Zhou,Guangzhou,23.11667,113.25,Brunel University London,http://www.wikidata.org/entity/Q932411
"UHC Mother Tereza Tirana, Albania",UHC Mother Tereza Tirana,Albania,AL,Tirana,Tirana,41.3275,19.81889,,
"Institute of Information Science, Academia Sinica, Taipei, Taiwan",Academia Sinica,Taiwan,TW,Taipei,Taipei,25.04776,121.53185,Academia Sinica,http://www.wikidata.org/wiki/Q337266
"Department of Maths & Statistics, Centre for Health Decision Sciences (CHeDS), University of Limerick, Limerick, Ireland ",University of Limerick,Ireland,IE,Limerick,Luimneach,52.66472,-8.62306,University of Limerick,http://www.wikidata.org/entity/Q573954
"Department of Electrical engineering, Katholieke Universiteit Leuven, Kasteelpark Arenberg 10, 3001 Leuven, Belgium",Katholieke Universiteit Leuven,Belgium,BE,Leuven,Leuven,50.87959,4.70093,Katholieke Universiteit Leuven Campus Kortrijk,http://www.wikidata.org/wiki/Q1736308
"Department of Agriculture and Food, Western Australia, South Perth, WA 6151, Australia",Department of Agriculture and Food,Australia,AU,South Perth,South Perth,-31.98333,115.86667,Department of Agriculture and Food,http://www.wikidata.org/wiki/Q5260145
"Department of Physics, McGill University, 3600 rue University, H3A 2T8, Montreal, Canada",McGill University,Canada,CA,Montreal,Montréal,45.50884,-73.58781,McGill University,http://www.wikidata.org/entity/Q201492
"Department of Pharmaceutics, AR College of Pharmacy, Sardar Patel University, Vallabh-Vidyanagar, Gujarat, India",Sardar Patel University,India,IN,Vallabh-Vidyanagar,Vallabh Vidyanagar,22.53333,72.9,Sardar Patel University,http://www.wikidata.org/wiki/Q7423720
"Swiss Light Source, Paul Scherrer Institute, CH-5232 Villigen PSI, Switzerland",Paul Scherrer Institute,Switzerland,CH,Villigen,Villigen,47.52682,8.21486,Paul Scherrer Institute,http://www.wikidata.org/wiki/Q351857
"CLAHRC End of Life Care Group; University lecturer, Primary Care Unit; Department of Public Health and Primary Care, University of Cambridge, Cambridge.",University of Cambridge,,,Cambridge,Cambridge,52.2,0.11667,University of Cambridge,http://www.wikidata.org/entity/Q35794
"Tropical Medicine Institute, Guangzhou University of Chinese Medicine, Guangzhou, China",Guangzhou University of Chinese Medicine,China,CN,Guangzhou,Guangzhou,23.11667,113.25,Guangzhou University of Chinese Medicine,http://www.wikidata.org/entity/Q4251253
"Computational Neurobiology, EMBL-EBI, Wellcome-Trust Genome Campus, Hinxton, Cambridge, CB10 1SD UK",Wellcome-Trust Genome Campus,United Kingdom,GB,Hinxton,Hinxton,52.08529,0.18198,Wellcome Genome Campus,http://www.wikidata.org/wiki/Q7981199
"The Eppley Cancer Institute, University of Nebraska Medical Center, Omaha, NE 68198, USA",University of Nebraska Medical Center,United States,US,Omaha,Omaha,41.25626,-95.94043,University of Nebraska Medical Center,http://www.wikidata.org/wiki/Q7895888
"Division of Allergy and Infectious Diseases, Department of Medicine, University of Washington, Seattle, WA USA ",University of Washington,United States,US,Seattle,Seattle,47.60621,-122.33207,University of Washington,http://www.wikidata.org/wiki/Q219563
"Li Ka Shing Knowledge Institute, St. Michael's Hospital, 209 Victoria Street, East Building, Toronto, Ontario M5B 1T8 Canada ",St. Michael's Hospital,Canada,CA,Toronto,Toronto,43.70011,-79.4163,St. Michael's Hospital,http://www.wikidata.org/entity/Q3145237
"Chemistry of Oxydic and Organic Interfaces, Karlsruhe Institute of Technology, Institute of Functional Interfaces, Karlsruhe, Germany",Karlsruhe Institute of Technology,Germany,DE,Karlsruhe,Karlsruhe,49.00937,8.40444,Karlsruhe Institute of Technology,http://www.wikidata.org/entity/Q309988
"Oticon Medical AB, Askim, Sweden",Oticon Medical AB,Sweden,SE,Askim,Askim,57.61583,11.94556,,
"Service de Gériatrie, Centre Hospitalier Universitaire de Rennes, Université de Rennes 1, Paris, France",Université de Rennes 1,France,FR,Paris,Paris,48.85341,2.3488,University of Rennes 1,http://www.wikidata.org/wiki/Q726595
"Département de Génétique médicale, Institut National d'Hygiène, 27, Avenue Ibn Batouta, 11400 Rabat, Morocco ",Institut National d'Hygiène,Morocco,MA,Rabat,Rabat,34.01325,-6.83255,,http://www.wikidata.org/wiki/Q3152380
"Department Internal Medicine-Oncology, Thorax-Clinic Heidelberg GmbH, Heidelberg, Germany",Thorax-Clinic Heidelberg GmbH,Germany,DE,Heidelberg,Heidelberg,49.40768,8.69079,,
"MatTek In Vitro Life Science Laboratories, Bratislava, Slovak Republic",MatTek In Vitro Life Science Laboratories,Slovakia,SK,Bratislava,Bratislava,48.14816,17.10674,,
"Laboratório de Vida Selvagem, Embrapa Pantanal, Corumbá, Brasil",Embrapa Pantanal,Brazil,BR,Corumbá,Corumbá,-19.00917,-57.65333,,
"Boston College, UNITED STATES",Boston College,United States,US,Boston,Boston,42.35843,-71.05977,Boston College,http://www.wikidata.org/entity/Q49118
"Clinical Virology, Gilead Sciences, Foster City, CA, USA",Gilead Sciences,United States,US,Foster City,Foster City,37.55855,-122.27108,Gilead Sciences,http://www.wikidata.org/wiki/Q663596
"National Space Science and Technology Center, NASA Marshall Space Flight Center, Huntsville, AL, USA",National Space Science and Technology Center,United States,US,Huntsville,Huntsville,34.73037,-86.5861,Marshall Space Flight Center,http://www.wikidata.org/wiki/Q618696
"Department of Gynecology and Obstetrics, Women's Headache Center, Torino, Italy",Women's Headache Center,Italy,IT,Torino,Turin,45.07049,7.68682,,
"Pennsylvania Game Commission, Harrisburg, PA, United States of America",Pennsylvania Game Commission,United States,US,Harrisburg,Harrisburg,40.2737,-76.88442,Pennsylvania Game Commission,http://www.wikidata.org/wiki/Q7163731
"School of Basic Medical Science, Yunyang Medical College and Yunyang Medical College Library, Shiyan 442000, People's Republic of China",School of Basic Medical Science,China,CN,Shiyan,Shiyan,32.6475,110.77806,,
"Department of Physics, Umm Al-Qura University, KSA, Mecca Al Taif Road, Mecca 24382, Saudi Arabia",Umm Al-Qura University,Saudi Arabia,SA,Mecca,Mecca,21.42664,39.82563,Umm Al-Qura University,http://www.wikidata.org/entity/Q3133606
"Department of Biochemistry and Molecular Biology, Uniformed Services University of the Health Sciences, 4301 Jones Bridge Road, Bethesda, MD (20814) USA",Uniformed Services University of the Health Sciences,United States,US,Bethesda,Bethesda,38.98067,-77.10026,Uniformed Services University of the Health Sciences,http://www.wikidata.org/wiki/Q4114428
"Department of Occupational Medicine, Chi-Mei Medical Center, Tainan, Taiwan",Chi-Mei Medical Center,Taiwan,TW,Tainan,Tainan,22.99083,120.21333,,
"Managed Services, IMS Health, Plymouth Meeting, PA, USA",IMS Health,United States,US,Plymouth Meeting,Plymouth Meeting,40.10233,-75.27435,IMS Health,http://www.wikidata.org/wiki/Q1543633
"Department of Human Genetics, University of Würzburg, Biozentrum, Würzburg, Germany",University of Würzburg,Germany,DE,Würzburg,Würzburg,49.79391,9.95121,University of Würzburg,https://www.wikidata.org/wiki/Q161976
"Department of Microbiology and Immunology, College of Medicine, University of Illinois at Chicago, Chicago, IL 60612, USA",University of Illinois at Chicago,United States,US,Chicago,Chicago,41.85003,-87.65005,University of Illinois at Chicago,http://www.wikidata.org/entity/Q955764
"VERDICT Health Services Research Center, South Texas Veterans Health Care System, San Antonio, TX, USA",South Texas Veterans Health Care System,United States,US,San Antonio,San Antonio,29.42412,-98.49363,,
"Colgate Palmolive Dental Health Unit, 3A Skelton House, Lloyd Street North, Manchester M15 6SH, UK",Colgate Palmolive Dental Health Unit,United Kingdom,GB,Manchester,Manchester,53.48095,-2.23743,,
"Department of Microbiology and Immunology, Virginia Commonwealth University School of Medicine, 1101 East Marshall Street, Richmond, Virginia 23298-0678, USA",Virginia Commonwealth University School of Medicine,United States,US,Richmond,Richmond,37.55376,-77.46026,,
"Second Pediatric Department, Aristotle University of Thessaloniki, Ahepa General Hospital, Thessaloniki, Greece",Aristotle University of Thessaloniki,Greece,GR,Thessaloniki,Thessaloníki,40.64361,22.93086,Aristotle University of Thessaloniki,http://www.wikidata.org/entity/Q667568
"Center for Clinical Pharmaceutical Sciences, School of Pharmacy, Kumamoto University, 5-1 Oe-Honmachi, Chuo-ku, Kumamoto, 862-0973, Japan",Kumamoto University,Japan,JP,Kumamoto,Kumamoto,32.80589,130.69181,Kumamoto University,http://www.wikidata.org/entity/Q1148782
"Biodiversity Research Centre, Academia Sinica, Taipei 115, Taiwan",Academia Sinica,Taiwan,TW,Taipei,Taipei,25.04776,121.53185,Academia Sinica,http://www.wikidata.org/wiki/Q337266
"Department of Physics and Astronomy, University of Pittsburgh, Pittsburgh, PA USA ",University of Pittsburgh,United States,US,Pittsburgh,Pittsburgh,40.44062,-79.99589,University of Pittsburgh,http://www.wikidata.org/entity/Q235034
"Vascular Sciences Section, National Heart and Lung Institute, Imperial College London, London, United Kingdom",Imperial College London,United Kingdom,GB,London,London,51.50853,-0.12574,Imperial College London,http://www.wikidata.org/entity/Q189022
"Department of Physiotherapy, The University of Melbourne, Parkville, Victoria Australia ",The University of Melbourne,Australia,AU,Parkville,Parkville,-37.78333,144.95,University of Melbourne,http://www.wikidata.org/entity/Q319078
"CSIC/CNB, SPAIN",CSIC/CNB,Spain,ES,,,,,Spanish National Center for Biotechnology,http://www.wikidata.org/wiki/Q7573255
"Department of Molecular, Cellular, and Biomedical Sciences, Rudman Hall, University of New Hampshire, NH 03824, Durham, USA.",University of New Hampshire,United States,US,Durham,Durham,43.13397,-70.92645,Southern New Hampshire University,http://www.wikidata.org/entity/Q3445256
"Department of Neurology, University Hospital of Toulouse, Toulouse, France ",University Hospital of Toulouse,France,FR,Toulouse,Toulouse,43.60426,1.44367,,
"Department of Pediatrics, Wilhelmina Children's Hospital, University Medical Center Utrecht, Lundlaan 6, 3584 EA Utrecht, The Netherlands ",University Medical Center Utrecht,Netherlands,NL,Utrecht,Utrecht,52.09083,5.12222,University Medical Center Utrecht,http://www.wikidata.org/entity/Q2456800
"Kumasi Centre for Collaborative Research in Tropical Medicine, Kumasi, Ghana",Kumasi Centre for Collaborative Research in Tropical Medicine,Ghana,GH,Kumasi,Kumasi,6.68848,-1.62443,,
"Key Lab of Animal Epidemiology and Zoonosis of Ministry of Agriculture, College of Veterinary Medicine, China Agricultural University, Beijing 100193, China",China Agricultural University,China,CN,Beijing,Beijing,39.9075,116.39723,China Agricultural University,http://www.wikidata.org/entity/Q257655
"National Herbarium of New South Wales, Botanic Gardens Trust, Sydney, New South Wales, Australia",National Herbarium of New South Wales,Australia,AU,Sydney,Sydney,-33.86785,151.20732,,
"Department of Medical Technology, Faculty of Allied Health Science, Thammasat University, Pathumthani 12120, Thailand",Thammasat University,Thailand,TH,Pathumthani,Pathum Thani,14.01346,100.53049,Thammasat University,http://www.wikidata.org/entity/Q1209733
"Sleep and Circadian Neuroscience Institute, University of Oxford, UK",University of Oxford,United Kingdom,GB,Oxford,Oxford,51.75222,-1.25596,University of Oxford,http://www.wikidata.org/wiki/Q34433
"Institute of Biostatistics and Mathematical Modeling, Goethe-University Hospital Frankfurt/Main, Frankfurt, Germany",Goethe-University Hospital Frankfurt/Main,Germany,DE,Frankfurt,Frankfurt am Main,50.11552,8.68417,,
"School of Medicine & Health Sciences, University of Oldenburg, Oldenburg, Germany",University of Oldenburg,Germany,DE,Oldenburg,Oldenburg,53.14118,8.21467,University of Oldenburg,http://www.wikidata.org/entity/Q597758
"School of Chemical Sciences, Universiti Sains Malaysia, 11800 USM, Penang, Malaysia",Universiti Sains Malaysia,Malaysia,MY,,,,,University of Science Malaysia,http://www.wikidata.org/entity/Q1973130
"Department of Health Science and Technology, Laboratory for Medical Mass Spectrometry, Aalborg University, Aalborg, Denmark ",Aalborg University,Denmark,DK,Aalborg,Aalborg,57.048,9.9187,Aalborg University,http://www.wikidata.org/entity/Q601956
"Department of Plastic and Cosmetic Surgery, Nanfang Hospital, Southern Medical University, Guang Zhou, Guang Dong, P.R, China",Southern Medical University,China,CN,Guang Zhou,Guangzhou,23.11667,113.25,Southern Medical University,http://www.wikidata.org/wiki/Q7570129
"Lethbridge Research Centre, Agriculture and Agri-Food Canada, Lethbridge, AB, Canada",Agriculture and Agri-Food Canada,Canada,CA,Lethbridge,Lethbridge,49.69999,-112.81856,Agriculture and Agri-Food Canada,http://www.wikidata.org/wiki/Q1046164
"Department of Biology, University of Utah, Salt Lake City, UT, USA",University of Utah,United States,US,Salt Lake City,Salt Lake City,40.76078,-111.89105,University of Utah,http://www.wikidata.org/entity/Q168515
"Southern China Primate Research Center, Guangzhou, China",Southern China Primate Research Center,China,CN,Guangzhou,Guangzhou,23.11667,113.25,,
"Institut Jacques Monod, FRANCE",Institut Jacques Monod,France,FR,,,,,Institut Jacques Monod,http://www.wikidata.org/wiki/Q3151749
"Department of Internal Medicine, Section of Rheumatology, Transition Clinic, University of Florence, Viale Pieraccini 18, 50139 Florence, Italy",University of Florence,Italy,IT,Florence,Florence,43.77925,11.24626,University of Florence,http://www.wikidata.org/entity/Q820887
"Department of Critical Care, Faculty of Nursing, Baqiyatallah University of Medical Sciences, Tehran, IR Iran",Baqiyatallah University of Medical Sciences,Iran,IR,Tehran,Tehran,35.69439,51.42151,Baqiyatallah University of Medical Sciences,http://www.wikidata.org/entity/Q4857819
"Imclone, New York, NY 10016, USA",Imclone,United States,US,New York,New York City,40.71427,-74.00597,ImClone Systems,http://www.wikidata.org/wiki/Q6001772
"State Key Laboratory of Crop Genetics and Germplasm Enhancement, Nanjing Agricultural University, 210095 Nanjing, China ",Nanjing Agricultural University,China,CN,Nanjing,Nanjing,32.06167,118.77778,Nanjing Agricultural University,http://www.wikidata.org/entity/Q1804773
"Department of Endocrinology, Princess Margaret Hospital, Perth, Australia",Princess Margaret Hospital,Australia,AU,Perth,Perth,-31.95224,115.8614,Princess Margaret Hospital for Children,http://www.wikidata.org/entity/Q7244698
"University of California San Diego, United States of America",University of California San Diego,United States,US,San Diego,San Diego,32.71533,-117.15726,"University of California, San Diego",http://www.wikidata.org/entity/Q622664
"Dr. Abdul Fattah Memon, FCPS, Al-Ibrahim Eye Hospital, Isra Post Graduate Institute of Ophthalmology, Karachi, Pakistan.",Isra Post Graduate Institute of Ophthalmology,Pakistan,PK,Karachi,Karachi,24.9056,67.0822,,
"Division of Nutrition, Physical Activity and Obesity, Center for Disease Control and Prevention, Atlanta, GA USA ",Center for Disease Control and Prevention,United States,US,Atlanta,Atlanta,33.749,-84.38798,,
"Centre for Neuroscience, Indian Institute of Science, Bangalore, 560012, India",Indian Institute of Science,India,IN,Bangalore,Bengaluru,12.97194,77.59369,Indian Institute of Science,http://www.wikidata.org/entity/Q948720
"ArborGen, Ridgeville, SC, USA",ArborGen,United States,US,Ridgeville,Ridgeville,33.09572,-80.31537,,
